horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
5,zerosum,State of the Art,1,1.6008269786834717,16,1.8485502595951573,[-1.84855026e+00  6.58583628e-01 -3.46415952e-03  3.73206314e+00],0.2
5,zerosum,Stackelberg,2,2.5127570629119873,26,1.8494154570651686,[-1.84941546  0.65931069  1.56466295  3.73217739],0.04
5,zerosum,State of the Art,2,2.2893290519714355,26,1.8494154570651689,[-1.84941546e+00  6.59310691e-01 -3.15256081e-03  3.73217739e+00],0.04
5,zerosum,Stackelberg,3,2.8140459060668945,26,1.8494154570651686,[-1.84941546  0.65931069  1.56466295  3.73217739],0.008
5,zerosum,State of the Art,3,2.2415220737457275,26,1.8494154570651689,[-1.84941546e+00  6.59310691e-01 -3.15256081e-03  3.73217739e+00],0.008
5,generalsum,Stackelberg,1,1.758131980895996,16,8.266975128468664,[ 8.45078369 -0.57952515  3.07007914  2.21023742],0.2
5,generalsum,State of the Art,1,1.947192907333374,16,8.266975128468664,[ 8.45078369 -0.57952515  3.07007914  2.21023742],0.2
5,generalsum,Stackelberg,2,2.2318379878997803,26,8.266975128468664,[ 8.45078369 -0.57952515  3.07007914  2.21023742],0.04
5,generalsum,State of the Art,2,2.152667760848999,26,8.266975128468664,[ 8.45078369 -0.57952515  3.07007914  2.21023742],0.04
5,generalsum,Stackelberg,3,2.159743070602417,26,8.266975128468664,[ 8.45078369 -0.57952515  3.07007914  2.21023742],0.008
5,generalsum,State of the Art,3,2.615882158279419,26,8.266975128468664,[ 8.45078369 -0.57952515  3.07007914  2.21023742],0.008
6,cooperative,Stackelberg,1,2.3097329139709473,16,18.137625,[18.137625  0.5       0.5      -3.      ],0.2
6,cooperative,State of the Art,1,0.19142675399780273,16,18.137625,[18.137625  0.5       0.5      -3.      ],0.2
6,cooperative,Stackelberg,2,3.410289764404297,26,18.137625,[18.137625  0.5       0.5      -3.      ],0.04
6,cooperative,State of the Art,2,0.3288559913635254,26,18.137625,[18.137625  0.5       0.5      -3.      ],0.04
6,cooperative,Stackelberg,3,3.2053239345550537,26,18.137625,[18.137625  0.5       0.5      -3.      ],0.008
6,cooperative,State of the Art,3,0.4181649684906006,26,18.137625,[18.137625  0.5       0.5      -3.      ],0.008
6,zerosum,Stackelberg,1,2.2577450275421143,16,1.5896528144728175,[-1.58965281  0.66330471  1.55971797  3.73280503],0.2
6,zerosum,State of the Art,1,2.015281915664673,16,1.5896528144728177,[-1.58965281e+00  6.63304715e-01 -1.44083660e-03  3.73280503e+00],0.2
